PODER;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;ENTIDAD;RUC
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;CENTRO NACIONAL DE SALUD RENAL ;20131263130
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;LIMA;DIRECCION GENERAL DEL SERVICIO NACIONAL DEL EMPLEO ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;LA VICTORIA;INSTITUTO NACIONAL CARDIOVASCULAR ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO ;20131023414
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;PROGRAMA NACIONAL PARA LA EMPLEABILIDAD ;20473400473
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;PROGRAMA NACIONAL PARA LA PROMOCION DE OPORTUNIDADES LABORALES IMPULSA PERU ;20600726979
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;PROGRAMA PARA LA GENERACION DE EMPLEO SOCIAL INCLUSIVO  - TRABAJA PERU ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;PROGRAMA PERU RESPONSABLE ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;RED ASISTENCIAL AMAZONAS ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;ANCASH;SANTA;CHIMBOTE;RED ASISTENCIAL ANCASH ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;APURIMAC;ABANCAY;ABANCAY;RED ASISTENCIAL APURIMAC ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;AREQUIPA;AREQUIPA;AREQUIPA;RED ASISTENCIAL AREQUIPA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;CAJAMARCA;CAJAMARCA;CAJAMARCA;RED ASISTENCIAL CAJAMARCA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;CUSCO;CUSCO;WANCHAQ;RED ASISTENCIAL CUSCO ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;RED ASISTENCIAL HUANCAVELICA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;HUANUCO;HUANUCO;HUANUCO;RED ASISTENCIAL HUANUCO ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;ICA;ICA;ICA;RED ASISTENCIAL ICA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;PUNO;SAN ROMAN;JULIACA;RED ASISTENCIAL JULIACA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;JUNIN;HUANCAYO;EL TAMBO;RED ASISTENCIAL JUNIN ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;LA LIBERTAD;TRUJILLO;TRUJILLO;RED ASISTENCIAL LA LIBERTAD ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;LAMBAYEQUE;CHICLAYO;CHICLAYO;RED ASISTENCIAL LAMBAYEQUE ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;LORETO;MAYNAS;PUNCHANA;RED ASISTENCIAL LORETO ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;RED ASISTENCIAL MADRE DE DIOS ;20350338315
Poder Ejecutivo;Trabajo y Promoción del Empleo;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;RED ASISTENCIAL MOQUEGUA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;RED ASISTENCIAL MOYOBAMBA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;PASCO;PASCO;CHAUPIMARCA;RED ASISTENCIAL PASCO ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;PIURA;PIURA;PIURA;RED ASISTENCIAL PIURA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;PUNO;PUNO;PUNO;RED ASISTENCIAL PUNO ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;TACNA;TACNA;CALANA;RED ASISTENCIAL TACNA ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;SAN MARTIN;SAN MARTIN;TARAPOTO;RED ASISTENCIAL TARAPOTO ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;TUMBES;TUMBES;TUMBES;RED ASISTENCIAL TUMBES ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;UCAYALI;CORONEL PORTILLO;CALLARIA;RED ASISTENCIAL UCAYALI ;No identificado
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;SEGURO SOCIAL DE SALUD ;20131257750
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL ;20555195444
Poder Ejecutivo;Trabajo y Promoción del Empleo;LIMA;LIMA;JESUS MARIA;UE 007: FORTALECE PERU ;No identificado
Poder Ejecutivo;Salud;LIMA;LIMA;JESUS MARIA;CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD ;20538298485
Poder Ejecutivo;Salud;LIMA;LIMA;LIMA;DIRECCION DE RED DE SALUD LIMA CIUDAD ;20516974304
Poder Ejecutivo;Salud;LIMA;LIMA;EL AGUSTINO;DIRECCION DE RED DE SALUD LIMA ESTE METROPOLITANA ;20538355462
Poder Ejecutivo;Salud;LIMA;LIMA;RIMAC;DIRECCION DE RED DE SALUD LIMA NORTE V  RIMAC- SMP- LOS OLIVOS ;20299907784
Poder Ejecutivo;Salud;LIMA;LIMA;EL AGUSTINO;DIRECCION DE REDES INTEGRADAS DE SALUD  LIMA ESTE ;20602236596
Poder Ejecutivo;Salud;LIMA;LIMA;LIMA;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO ;20602250602
